pha,diameter,albedo,diameter_sigma,epoch,epoch_mjd,epoch_cal,i,om,w,ma,ad,tp,tp_cal,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms
N,5.406,0.138,0.056,2459000.5,59000,20200531.0,7.757109732372137,219.8040936842195,186.7110339494291,199.0250578203296,2.835831479390199,2459676.699336387,20220407.1993364,5.1117e-08,1.3942e-08,1.3477e-07,5.2927e-06,3.2695e-05,4.262e-05,2.7215e-05,1.5334e-08,1.9308e-09,0.00011672,1.2265e-05,0.54404
N,4.148,0.059,0.245,2459000.5,59000,20200531.0,15.17793338261362,188.3382699758395,255.9470861410176,322.981844938854,4.079449207179517,2459214.3791523823,20201230.8791524,4.8499e-08,5.9686e-08,1.5664e-07,1.0921e-05,2.1642e-05,3.1406e-05,2.3944e-05,7.6355e-08,4.8593e-09,0.00014272,5.8396e-05,0.48703
N,33.316,0.03,0.115,2459000.5,59000,20200531.0,22.82968698998812,331.3993567113489,288.160754476952,335.4614337469939,3.197879018344946,2459106.941190312,20200914.4411903,3.9887e-08,1.1721e-08,1.0704e-07,4.8061e-06,1.1115e-05,1.6185e-05,1.444e-05,1.4229e-08,1.5387e-09,6.2849e-05,1.0422e-05,0.38598
N,2.182,0.214,0.215,2459000.5,59000,20200531.0,17.68977021589815,186.2016885383273,1.862764146390059,194.7024696879326,2.835408759982755,2459696.6105108294,20220427.1105108,5.5091e-08,1.9474e-08,1.3994e-07,5.2639e-06,1.3238e-05,2.4507e-05,2.1116e-05,2.1379e-08,2.6857e-09,9.1119e-05,1.7147e-05,0.58266
N,1.846,0.431,0.382,2459000.5,59000,20200531.0,3.19665493608372,127.6815587875229,187.2949097990052,231.4274925988267,2.891984166611191,2459488.0241980576,20210930.5241981,3.1803e-08,1.0629e-08,7.5936e-08,3.4556e-06,7.241e-05,7.3257e-05,1.4012e-05,1.2764e-08,1.746e-09,5.5031e-05,9.0374e-06,0.59809
N,5.158,0.046,1.37,2459000.5,59000,20200531.0,3.110067519582091,184.0323343153177,94.22023673320568,210.8839082400228,3.631133188146666,2459836.384422956,20220913.884423,3.488e-08,2.4631e-08,1.097e-07,5.3586e-06,7.3361e-05,7.5287e-05,1.5652e-05,2.8619e-08,2.109e-09,8.9066e-05,2.3857e-05,0.55336
N,1.684,0.036,0.347,2455409.5,55409,20100801.0,4.576986899554841,117.5232522468862,337.3260057087797,293.5638343629993,2.566828422243832,2455633.654476533,20110313.1544765,4.7913,84.11,61.124,23.879,844.71,11349.0,10533.0,96.905,16.784,22846.0,68784.0,0.49481
N,4.102,0.06,0.195,2459000.5,59000,20200531.0,26.60813975618643,146.5385328735945,34.69689262879668,172.9280615927429,2.810714836483824,2458249.3479660577,20180510.8479661,8.8537e-08,2.6954e-08,2.4011e-07,1.053e-05,1.2326e-05,5.366e-05,5.0735e-05,2.8734e-08,3.5302e-09,0.00022092,2.3979e-05,0.57951
N,5.378,0.058,0.059,2459000.5,59000,20200531.0,5.958117752124111,130.8271130297256,193.9446289950392,151.4277433828909,2.736431723931685,2458416.170030531,20181024.6700305,3.7565e-08,1.2148e-08,9.2255e-08,4.4655e-06,4.5257e-05,4.9752e-05,2.2038e-05,1.3643e-08,1.9381e-09,8.3645e-05,1.0389e-05,0.53661
Y,1.039,0.038,0.077,2459000.5,59000,20200531.0,38.21622889979377,94.1400043854217,103.9601081472202,266.8086363837199,2.450734405919187,2459165.809317096,20201112.3093171,2.8249e-07,4.9653e-09,4.1013e-07,5.545e-05,2.0662e-05,4.5833e-05,1.6428e-05,8.3848e-09,2.8931e-09,2.9785e-05,3.2773e-06,0.47854
N,2.665,0.062,0.542,2459000.5,59000,20200531.0,8.341941557681357,257.7449979360372,125.8771979339173,121.8367718046158,2.702202726577458,2458493.6173591614,20190110.1173592,7.9675e-08,2.6389e-08,2.0343e-07,5.8153e-06,4.944e-05,0.00010842,9.419e-05,2.7835e-08,3.7139e-09,0.00039225,2.3141e-05,0.56218
N,2.029,0.051,0.694,2459000.5,59000,20200531.0,4.997805376730323,2.93072363810494,296.4530379071716,145.7549929269209,2.910841184161992,2458470.5669071227,20181218.0669071,5.1128e-08,1.8308e-08,1.1731e-07,6.623e-06,4.7495e-05,4.9813e-05,1.6009e-05,2.2758e-08,3.2256e-09,5.5193e-05,1.535e-05,0.54898
N,2.758,0.279,0.2,2459000.5,59000,20200531.0,5.868171995973869,69.40118904190719,211.079818290536,219.474399093627,3.079356386662202,2459542.593060492,20211124.0930605,3.8682e-08,1.1792e-08,9.0916e-08,4.1437e-06,5.1066e-05,5.207e-05,1.3004e-05,1.4906e-08,1.8822e-09,5.2757e-05,1.0083e-05,0.55397
Y,0.26,0.376,0.003,2459000.5,59000,20200531.0,5.924351589928552,31.89729627967818,124.7924328363799,144.23301746951,2.562243105200573,2458744.081229123,20190917.5812291,1.6716e-08,4.9281e-11,2.4287e-08,8.388e-06,5.4975e-06,7.0933e-06,5.3485e-07,8.6878e-11,2.8609e-11,9.5987e-07,3.2551e-08,0.2985
N,3.464,0.034,0.701,2459000.5,59000,20200531.0,17.32405136749736,204.7998211898837,180.1787690219095,272.2207048312001,3.153922317151035,2459486.6683659824,20210929.168366,1.4628e-07,7.872e-08,4.4483e-07,1.4863e-05,3.4179e-05,0.00030342,0.00030254,8.0082e-08,6.8767e-09,0.0016792,7.594e-05,0.71449
Y,0.386,0.119,0.009,2459000.5,59000,20200531.0,19.88140708245994,95.09222320553636,259.9458108111207,104.70887055076,1.167773892407491,2458890.32092847,20200210.8209285,1.9789e-07,3.443e-08,1.7335e-07,2.5495e-05,8.5363e-06,2.8895e-05,0.00021131,3.9241e-08,4.7903e-08,0.00021685,1.9094e-05,0.4119
N,2.865,0.037,0.492,2459000.5,59000,20200531.0,5.850269805417181,308.46004596,339.845556667717,341.0384085517903,3.608265991331665,2459108.536191874,20200916.0361919,1.0408e-07,1.7869e-07,3.7257e-07,1.3826e-05,0.00012268,0.00014023,7.9931e-05,2.0408e-07,1.489e-08,0.00046216,0.00017402,0.70318
N,5.691,0.055,0.189,2459000.5,59000,20200531.0,5.603393667881399,65.8565737222849,45.68281418453475,230.8635642869475,2.97540464584486,2459605.146685087,20220125.6466851,4.2255e-08,2.1365e-08,1.1801e-07,5.1888e-06,5.6537e-05,6.9683e-05,4.0356e-05,2.2934e-08,2.4693e-09,0.00018922,1.9489e-05,0.59643
N,2.041,0.293,0.148,2459000.5,59000,20200531.0,11.32069652221207,269.3515711979329,308.3773298788525,96.42169196158063,3.037620255899809,2458576.753794992,20190403.253795,7.2891e-08,2.4535e-08,1.8658e-07,6.1558e-06,3.6765e-05,4.1572e-05,1.9094e-05,2.8047e-08,3.1515e-09,8.3996e-05,2.1912e-05,0.61329
N,4.516,0.114,1.392,2459000.5,59000,20200531.0,7.07189377394374,5.847712146732754,151.6155372512707,294.1573934830154,3.242672192082968,2459380.956174332,20210615.4561743,1.084e-07,7.2332e-08,3.3587e-07,1.288e-05,5.2676e-05,0.00024096,0.00023551,7.3547e-08,5.8879e-09,0.0013627,7.0771e-05,0.58049
N,2.102,0.252,0.412,2459000.5,59000,20200531.0,3.189936053564105,63.06641240194514,140.884173331275,142.5944414270929,2.81526673753934,2458419.449002019,20181027.949002,5.7306e-07,1.8957e-08,1.4539e-06,5.4383e-06,0.00013517,0.00025258,0.00024374,2.1123e-08,2.7619e-09,0.0009907,1.651e-05,0.53838
N,2.025,0.057,0.388,2459000.5,59000,20200531.0,2.910341919955624,111.3818701515422,77.73658340091595,349.5064889951479,2.485202104921954,2459038.360455408,20200707.8604554,4.8059e-08,1.4378e-08,1.1527e-07,5.643e-06,0.00010011,0.00010943,4.2235e-05,1.5337e-08,2.5657e-09,0.00015236,1.2024e-05,0.57664
Y,0.273,0.124,0.102,2459000.5,59000,20200531.0,28.58585831655181,68.29029777453871,143.7342953414467,156.4706277254018,1.45180204991577,2458780.4457641058,20191023.9457641,2.1356e-07,4.5145e-08,2.9532e-07,2.8407e-05,9.4319e-06,6.9978e-05,0.00011751,5.2721e-08,3.8732e-08,0.0001555,2.7578e-05,0.56268
N,2.55,0.082,0.58,2459000.5,59000,20200531.0,11.55063809876068,125.2142062935518,332.6166993264227,104.9855685093066,3.060975226563734,2458540.1339847017,20190225.6339847,5.1406e-08,1.6887e-08,1.3993e-07,5.7787e-06,2.6093e-05,3.1361e-05,1.7584e-05,1.9481e-08,2.1771e-09,7.5656e-05,1.507e-05,0.58795
N,4.487,0.077,0.028,2459000.5,59000,20200531.0,1.617948909747491,296.4042884828339,154.265822592304,275.2630630042551,2.665345474055122,2459316.5085761836,20210412.0085762,4.0124e-08,1.0678e-08,9.4091e-08,4.4354e-06,0.00016197,0.0001632,2.1549e-05,1.195e-08,1.8033e-09,8.1235e-05,9.0285e-06,0.53537
N,11.104,0.052,0.24,2459000.5,59000,20200531.0,7.967473180029564,291.7951758490302,46.31930310351605,155.9772517435942,3.465820457378338,2458159.31187724,20180209.8118772,5.0511e-08,2.0887e-08,1.4826e-07,4.2564e-06,3.1404e-05,3.4807e-05,1.6954e-05,2.3768e-08,1.9074e-09,8.865e-05,1.9971e-05,0.5507
N,3.824,0.175,0.912,2459000.5,59000,20200531.0,10.5206247681902,26.4166245493157,351.6709405091744,95.1235824993216,3.687279973698322,2458551.73770278,20190309.2377028,4.3378e-08,1.6064e-08,1.2088e-07,4.553e-06,3.4244e-05,3.5567e-05,1.1859e-05,2.1262e-08,1.8334e-09,5.3667e-05,1.469e-05,0.55248
N,2.511,0.194,0.482,2459000.5,59000,20200531.0,7.889379407104655,226.8905845005063,90.47956263680938,10.84459813699552,3.230869685374135,2458950.418308024,20200410.918308,4.7733e-08,2.1944e-08,1.4113e-07,6.0442e-06,3.1638e-05,3.6589e-05,1.9244e-05,2.5814e-08,2.5952e-09,8.8535e-05,1.9925e-05,0.54612
N,5.546,0.076,0.126,2459000.5,59000,20200531.0,4.342549352261102,21.88824833011029,302.5042692265055,79.34531268511623,3.290394413960533,2458631.0497155744,20190527.5497156,3.8571e-08,1.238e-08,1.056e-07,4.3755e-06,5.1895e-05,5.2963e-05,9.7995e-06,1.4751e-08,1.4442e-09,4.5276e-05,1.1272e-05,0.54553
N,2.347,0.088,0.412,2455362.5,55362,20100615.0,6.973600566648867,295.5149803087683,76.07501740174524,196.7465287389221,2.6151109256281,2455883.326836944,20111117.8268369,4.6049,13.015,20.055,0.98132,231.91,993.75,1646.1,15.858,2.8511,982.23,10446.0,0.76034
N,2.196,0.101,0.762,2459000.5,59000,20200531.0,13.9611342749858,207.539555174954,49.64036939295629,290.0405941412952,3.91881109569278,2459410.039602072,20210714.5396021,8.6683e-08,1.4115e-07,3.0555e-07,1.4475e-05,2.8641e-05,7.3996e-05,6.3851e-05,1.7194e-07,1.1243e-08,0.00039357,0.0001387,0.62365
N,3.909,0.035,0.913,2459000.5,59000,20200531.0,16.60115281957074,267.5131904174353,17.48770836202578,95.2984167647936,3.485453870318393,2458561.260741659,20190318.7607417,1.0638e-07,6.2096e-08,2.6906e-07,8.9503e-06,3.8567e-05,4.7749e-05,2.1356e-05,7.8905e-08,7.3676e-09,9.411e-05,5.6345e-05,0.50302
N,2.386,0.135,0.457,2459000.5,59000,20200531.0,12.41140403091354,184.1594884485901,189.3403475416183,266.8542057941864,3.679069134742512,2459526.7807603055,20211108.2807603,4.9989e-08,5.2597e-08,1.5857e-07,5.8671e-06,2.7498e-05,3.2849e-05,2.1712e-05,6.1592e-08,4.4445e-09,0.00013124,5.1078e-05,0.59871
N,6.739,0.068,0.231,2459000.5,59000,20200531.0,8.298928886557682,247.6842589577775,317.9969924208052,230.4037719543679,3.296022596388104,2459743.1992151923,20220612.6992152,4.8296e-08,3.0066e-08,1.5265e-07,4.5783e-06,3.7349e-05,7.1457e-05,6.2143e-05,3.1245e-08,2.4812e-09,0.00035822,2.9336e-05,0.50533
N,2.362,0.05,0.453,2459000.5,59000,20200531.0,2.435091189358137,136.6426491101197,356.3313530857453,299.2920039289428,2.518502222635361,2459213.7601111745,20201230.2601112,4.6093e-08,1.3863e-08,1.088e-07,5.1597e-06,0.00010187,0.00010496,2.7405e-05,1.5255e-08,2.5865e-09,9.7473e-05,1.149e-05,0.63057
N,2.932,0.142,0.912,2459000.5,59000,20200531.0,3.786165909333405,169.916040625825,303.2614700093245,29.56491634726831,3.058283975058557,2458855.045243032,20200106.545243,3.9222e-08,1.6975e-08,1.1492e-07,5.365e-06,6.6131e-05,7.9896e-05,4.2564e-05,1.8122e-08,1.8066e-09,0.00020951,1.5742e-05,0.53378
N,3.755,0.05,0.479,2459000.5,59000,20200531.0,11.24535343489939,229.5992288746708,164.1717829353435,217.9716830118053,3.099427255076297,2459609.711505858,20220130.2115059,7.4369e-08,1.6513e-08,1.9566e-07,7.571e-06,2.5205e-05,2.8833e-05,1.3007e-05,1.9575e-08,2.2086e-09,5.8177e-05,1.4629e-05,0.52291
N,3.488,0.333,0.233,2459000.5,59000,20200531.0,5.776799093053377,199.1209583383496,333.0741151968156,2.290643717301723,2.531905695098121,2458992.54961424,20200523.0496142,3.4125e-08,6.3821e-09,7.8796e-08,3.4646e-06,3.1362e-05,3.4748e-05,1.375e-05,7.1174e-09,1.2149e-09,4.773e-05,5.2686e-06,0.47327
Y,0.51,0.025,0.036,2459000.5,59000,20200531.0,3.189607719341302,57.20223411272819,201.00713016925,38.23691802810686,3.407838346726658,2458875.6565198814,20200127.1565199,3.7177e-07,1.6903e-06,7.9507e-08,5.8176e-06,3.2184e-05,3.3795e-05,0.0013026,2.6427e-06,3.5626e-07,0.0041077,0.0013672,0.27409
N,3.442,0.026,1.091,2459000.5,59000,20200531.0,5.50573755064458,98.47643704351329,146.6755316241046,81.9959413304542,2.84346548886063,2458608.852194078,20190505.3521941,5.9867e-08,3.5644e-08,1.7113e-07,7.0353e-06,6.2601e-05,0.00029266,0.0002822,3.6082e-08,3.985e-09,0.00135,3.273e-05,0.62122
N,4.6,0.046,0.056,2459000.5,59000,20200531.0,2.805705986968795,205.4702839349835,174.7099877048922,75.53681566010799,2.588289762279896,2458743.7678479436,20190917.2678479,4.0078e-08,6.0541e-09,8.9583e-08,4.3892e-06,7.7289e-05,7.8414e-05,1.2091e-05,6.9992e-09,1.1934e-09,4.1054e-05,4.963e-06,0.49072
N,3.56,0.061,0.214,2459000.5,59000,20200531.0,10.31322721234169,291.9236946814866,268.7920421559504,89.04069019371957,2.961379006009671,2458611.1478354116,20190507.6478354,7.7883e-08,3.6074e-08,2.14e-07,5.7055e-06,4.7318e-05,5.806e-05,2.7267e-05,4.0338e-08,4.6726e-09,0.00012245,3.2164e-05,0.57297
N,11.694,0.107,0.679,2459000.5,59000,20200531.0,24.80434438017356,226.4143375828196,173.9212200249221,320.8880347552694,5.750370904565205,2459473.02076822,20210915.5207682,1.5682e-07,2.6983e-07,9.9772e-07,8.6489e-06,2.2476e-05,5.4248e-05,5.7761e-05,2.9756e-07,6.4249e-09,0.00071335,0.00033759,0.43908
Y,0.531,0.109,0.009,2459000.5,59000,20200531.0,25.0067770738593,57.86761909955646,240.8032098228575,315.4313031631302,1.437379018825201,2459057.1579703274,20200726.6579703,4.1053e-08,1.65e-09,4.6973e-08,1.0322e-05,8.2495e-06,1.4398e-05,1.6391e-05,2.0406e-09,1.6751e-09,2.0928e-05,9.7457e-07,0.51073
N,2.185,0.233,0.209,2459000.5,59000,20200531.0,3.817896517848834,171.7552144386331,136.9040357652968,6.23195691370458,2.561424836371267,2458979.7987018754,20200510.2987019,3.3139e-08,9.9466e-09,7.5151e-08,4.2835e-06,5.75e-05,5.9509e-05,1.7951e-05,1.1555e-08,2.0371e-09,5.9549e-05,8.092e-06,0.51919
N,2.75,0.177,0.264,2459000.5,59000,20200531.0,1.983295136898886,319.2520890566191,138.1301794876664,294.7826267911601,2.898132579330985,2459267.505255943,20210222.0052559,4.1903e-08,1.3866e-08,1.0663e-07,4.308e-06,0.0001221,0.00012306,1.916e-05,1.5855e-08,2.0044e-09,7.9447e-05,1.2095e-05,0.54307
N,4.209,0.076,0.43,2459000.5,59000,20200531.0,5.859162585327414,180.3686772247435,19.58518123930405,219.5678995410414,3.7200095479547,2459785.7762822574,20220725.2762823,6.1101e-08,2.7346e-08,1.8347e-07,6.3689e-06,4.7638e-05,4.9066e-05,1.4105e-05,3.2604e-08,2.351e-09,8.5606e-05,2.6465e-05,0.57477
N,4.86,0.043,0.145,2459000.5,59000,20200531.0,8.504400952221786,157.0529528860931,222.1716724055391,353.6221788919241,3.434332680342021,2459030.631931416,20200630.1319314,4.7621e-08,1.5861e-08,1.3282e-07,5.1915e-06,2.841e-05,2.9782e-05,8.961e-06,1.9535e-08,1.8059e-09,4.2446e-05,1.4511e-05,0.59001
Y,0.108,0.271,0.002,2459000.5,59000,20200531.0,5.325102171563368,130.122882913472,249.2594688374739,347.8487733448397,3.308802813692805,2459031.0420193686,20200630.5420194,0.00025969,0.0015604,0.00017469,0.0013282,0.0039661,0.00079093,1.9046,0.0028199,0.00050861,4.8261,1.1568,0.43353
N,1.857,0.389,0.349,2459000.5,59000,20200531.0,5.450494881577264,79.3087366291056,338.2739656805903,288.8508058980785,2.557419885879443,2459236.6067932053,20210122.1067932,4.0453e-08,9.1484e-09,8.7814e-08,4.2786e-06,4.0967e-05,4.3134e-05,1.6307e-05,1.0618e-08,1.8767e-09,5.4909e-05,7.4402e-06,0.51725
Y,0.554,0.331,0.189,2459000.5,59000,20200531.0,6.405556215189647,222.6581464159321,221.6209512240932,31.04040841614784,3.029088290106213,2458916.45129266,20200307.9512927,6.6151e-08,1.0793e-08,1.2701e-07,1.239e-05,4.6463e-05,4.7177e-05,1.1768e-05,1.6992e-08,3.1076e-09,3.1312e-05,8.2023e-06,0.59131
N,7.613,0.133,0.24,2459000.5,59000,20200531.0,33.61080560717431,110.1256120550523,301.6038611890645,306.4888642133608,3.648240407292512,2459246.360311562,20210131.8603116,4.1508e-08,1.7968e-08,1.1178e-07,6.151e-06,7.33e-06,1.1586e-05,1.1541e-05,2.3949e-08,2.1431e-09,5.4177e-05,1.6287e-05,0.48668
N,3.514,0.172,0.114,2459000.5,59000,20200531.0,4.250563352949887,241.0715936942408,119.5889099242599,121.5446469060725,2.858295293203845,2458489.11961906,20190105.6196191,4.1132e-08,1.2314e-08,1.094e-07,3.7482e-06,6.0628e-05,6.3232e-05,1.9009e-05,1.3636e-08,1.7009e-09,7.8773e-05,1.0839e-05,0.50808
N,3.095,0.106,0.109,2459000.5,59000,20200531.0,13.14813437247683,196.2086227147379,115.5476293817191,290.3699036368573,3.895593610886043,2459382.952307451,20210617.4523075,5.1882e-08,3.3662e-08,1.7647e-07,7.6803e-06,2.3462e-05,3.0503e-05,2.1206e-05,4.2533e-08,2.9817e-09,0.00012117,3.2384e-05,0.48609
N,4.557,0.045,0.167,2459000.5,59000,20200531.0,10.95616491474943,181.0747783936979,238.4500002606725,329.6591648172808,3.602008368791905,2459168.7148177354,20201115.2148177,4.9172e-08,4.1417e-08,1.6032e-07,7.5251e-06,2.7928e-05,3.7669e-05,2.6799e-05,4.8087e-08,3.6119e-09,0.00015044,3.9968e-05,0.56378
N,8.812,0.063,0.296,2459000.5,59000,20200531.0,0.3854231608904611,219.7370883573682,86.2279070015382,114.462241868583,3.651042415681934,2458339.7252003467,20180809.2252003,3.5752e-08,1.8226e-08,1.1224e-07,4.709e-06,0.00062219,0.00062241,1.7518e-05,2.0879e-08,1.4859e-09,9.961e-05,1.7827e-05,0.53427
N,10.765,0.242,0.168,2459000.5,59000,20200531.0,1.400246312286956,211.2876895262058,168.6329540452133,296.4670248989806,3.086943728165422,2459311.8654992273,20210407.3654992,3.2871e-08,1.2985e-08,9.5831e-08,3.6653e-06,0.00013072,0.00013247,2.3022e-05,1.4028e-08,1.3908e-09,0.00011388,1.2026e-05,0.46526
Y,0.811,0.02,0.403,2459000.5,59000,20200531.0,2.685296289704656,62.88525568265723,303.318551937232,217.8676730748317,4.046590629504456,2459528.996520607,20211110.4965206,6.715e-07,4.0063e-08,1.5847e-06,3.25e-05,0.00029394,0.00028214,3.0992e-05,6.8202e-08,6.799e-09,0.00012827,3.3841e-05,0.53459
N,7.399,0.056,0.404,2459000.5,59000,20200531.0,29.10213962901762,130.7079133282745,354.3402631502524,155.479367239678,3.625716306193871,2458096.6699820226,20171209.169982,5.8173e-08,3.563e-08,1.8198e-07,6.6789e-06,1.0973e-05,2.4507e-05,2.1095e-05,4.0346e-08,2.8713e-09,0.00012033,3.4931e-05,0.5033
N,3.877,0.074,0.149,2459000.5,59000,20200531.0,2.206028241414232,174.6934363848821,99.85730179152291,331.3751890603176,3.405943304798053,2459154.932366931,20201101.4323669,4.8425e-08,2.8772e-08,1.5648e-07,7.7743e-06,0.00013767,0.00014181,3.2735e-05,3.2166e-08,2.6258e-09,0.00017625,2.7514e-05,0.58066
N,4.219,0.069,0.219,2459000.5,59000,20200531.0,6.329013975093098,346.8737136564393,166.6331722436486,13.65794174260167,3.06112546230184,2458935.380422235,20200326.8804222,5.3816e-08,1.8552e-08,1.5281e-07,5.506e-06,4.0772e-05,4.9488e-05,2.5792e-05,2.0242e-08,2.0804e-09,0.00012298,1.7025e-05,0.55442
N,5.884,0.035,1.698,2459000.5,59000,20200531.0,10.60891794025072,116.9571529415909,226.5784727989843,286.4651323979301,3.474296603117919,2459420.962919784,20210725.4629198,5.92e-08,5.969e-08,1.9148e-07,6.8257e-06,3.1207e-05,4.3856e-05,3.224e-05,6.5485e-08,4.9446e-09,0.00018882,5.8198e-05,0.5896
Y,3.006,0.178,0.893,2459000.5,59000,20200531.0,42.02835050925976,310.1588259670914,6.924042269156738,103.2044994718141,2.524528739455306,2458757.321457701,20190930.8214577,7.7214e-08,8.6842e-09,1.3555e-07,9.2229e-06,6.8373e-06,1.0914e-05,1.5071e-05,1.2501e-08,3.1524e-09,3.5202e-05,6.3008e-06,0.48992
N,4.333,0.103,0.692,2459000.5,59000,20200531.0,16.98586130266274,307.9439906258172,273.4264042046982,27.8531066629199,3.626298813667927,2458852.503042504,20200104.0030425,6.6303e-08,6.8371e-08,2.1994e-07,2.5204e-05,2.7484e-05,8.5656e-05,7.1719e-05,8.2214e-08,6.4002e-09,0.00038027,6.5051e-05,0.40618
Y,0.216,0.326,0.005,2459000.5,59000,20200531.0,9.216001876935644,75.36313500991545,58.29710318668596,108.1730479372155,4.584773502937947,2458507.786279791,20190124.2862798,2.6099e-08,1.533e-08,7.5481e-08,8.1385e-06,1.2235e-05,1.5735e-05,8.5674e-07,2.5826e-08,1.8551e-09,5.9489e-06,1.3855e-05,0.39135
N,5.823,0.052,0.06,2459000.5,59000,20200531.0,6.125947383283326,100.5605387216476,313.5861127618647,6.9288828532701,3.663873797984337,2458963.575811256,20200424.0758113,5.7485e-08,2.5659e-08,1.8341e-07,4.0842e-06,6.4587e-05,6.609e-05,1.4531e-05,3.1114e-08,2.3903e-09,7.7182e-05,2.4437e-05,0.55912
N,3.398,0.088,0.866,2459000.5,59000,20200531.0,4.462568415396541,300.3597676230557,64.92915976421375,250.3434755238961,2.958670392402464,2459504.896096495,20211017.3960965,5.6079e-08,2.8674e-08,1.5904e-07,6.5307e-06,7.5724e-05,8.6418e-05,4.4194e-05,3.0971e-08,3.4136e-09,0.00020708,2.6001e-05,0.61068
N,3.832,0.048,0.27,2459000.5,59000,20200531.0,4.640691723202238,74.00350880101526,136.2354203230442,313.6694365090383,3.237580089339797,2459248.740955015,20210203.240955,6.4346e-08,3.7491e-08,2.0789e-07,5.2601e-06,8.4462e-05,0.00010064,5.8304e-05,4.0026e-08,3.4611e-09,0.00031398,3.5771e-05,0.52944
N,2.487,0.041,0.216,2459000.5,59000,20200531.0,17.96547586337832,65.84514970429323,335.5782709705324,343.3341478625313,3.581675430067641,2459082.811601761,20200821.3116018,1.6852e-06,7.2122e-07,4.3521e-06,6.8415e-05,3.1547e-05,0.0014395,0.00073781,8.9935e-07,7.6261e-08,0.0036173,0.00066969,0.44664
N,5.813,0.043,0.134,2459000.5,59000,20200531.0,11.47114531140019,171.5063620742023,168.0719769771449,231.341024653875,3.551882294867139,2459693.297885945,20220423.7978859,4.7821e-08,2.4977e-08,1.4546e-07,5.8181e-06,2.224e-05,2.7506e-05,1.9804e-05,2.9158e-08,2.2867e-09,0.00011269,2.387e-05,0.55811
N,2.946,0.245,0.522,2459000.5,59000,20200531.0,10.50057484966012,20.76191417434817,342.6238893276486,92.80081463909043,2.732935864376159,2458604.1390996636,20190430.6390997,3.837e-08,1.1618e-08,9.9349e-08,4.4418e-06,1.9918e-05,4.4435e-05,3.9683e-05,1.2179e-08,1.5651e-09,0.00016932,1.0278e-05,0.515
N,9.253,0.052,1.129,2459000.5,59000,20200531.0,3.341406304748495,247.8791724058939,156.7091663475865,315.4484903850661,5.888926597632631,2459556.504276012,20211208.004276,1.2082e-07,5.1149e-07,1.0079e-06,9.1884e-06,0.00017306,0.00019298,0.0001136,5.6527e-07,1.1537e-08,0.0014899,0.00064689,0.63338
Y,0.417,0.065,0.007,2459000.5,59000,20200531.0,44.59875388604336,55.94781382500857,234.9672947096296,299.955140307264,1.572876367180031,2459088.194551172,20200826.6945512,2.4515e-07,5.8237e-08,2.7842e-07,7.9221e-05,1.9421e-05,5.8278e-05,0.0001798,7.185e-08,4.6917e-08,0.00026838,3.6027e-05,0.65248
N,5.499,0.255,0.211,2459000.5,59000,20200531.0,14.09217986855686,114.794382853782,225.2629444057675,274.7729829096988,3.058279532306372,2459354.975303368,20210520.4753034,3.0536e-08,1.2749e-08,7.8435e-08,3.9373e-06,1.9719e-05,2.4463e-05,1.6358e-05,1.5222e-08,1.7951e-09,6.8835e-05,1.1179e-05,0.4914
N,13.759,0.052,0.111,2459000.5,59000,20200531.0,7.06975214233691,38.60929278985222,337.4540601158957,256.3981168480744,3.425283779730755,2459593.860426424,20220114.3604264,5.259e-08,2.1465e-08,1.662e-07,5.6655e-06,3.397e-05,4.4103e-05,3.0484e-05,2.3192e-08,1.7733e-09,0.00017713,2.094e-05,0.49547
N,1.915,0.277,0.322,2459000.5,59000,20200531.0,5.597928644747948,110.4449473916449,224.1726160930626,272.2391499338891,2.787903012493274,2459324.466358444,20210419.9663584,4.4721e-08,9.2496e-09,1.0796e-07,4.0808e-06,4.3661e-05,4.4542e-05,9.2269e-06,1.0901e-08,1.5888e-09,3.4574e-05,7.7943e-06,0.53914
N,6.332,0.033,0.618,2459000.5,59000,20200531.0,15.3591660424375,75.63922564011332,58.41822160372564,76.8476378719047,3.370535300229796,2458564.6895833896,20190322.1895834,5.7128e-08,3.4032e-08,1.8744e-07,6.0591e-06,2.1867e-05,5.3652e-05,4.6429e-05,3.642e-08,2.858e-09,0.0002644,3.309e-05,0.64246
N,7.957,0.161,0.21,2459000.5,59000,20200531.0,32.39800850112358,270.1030356179386,301.3061750856085,136.1229980568904,3.493744841464354,2458361.7251311047,20180831.2251311,4.3504e-08,2.0426e-08,1.2055e-07,7.1313e-06,1.1013e-05,1.8509e-05,1.5506e-05,2.5708e-08,2.3521e-09,7.1563e-05,1.8646e-05,0.5024
N,7.425,0.07,0.051,2459000.5,59000,20200531.0,10.10336800117417,190.0872555224995,200.2457478507201,72.50675999308854,3.434845506180904,2458679.9745346294,20190715.4745346,3.928e-08,1.3443e-08,1.0147e-07,4.6783e-06,2.6274e-05,2.7629e-05,9.4831e-06,1.731e-08,1.71e-09,4.0938e-05,1.203e-05,0.49745
